hex_id,bike_track_m,bike_lane_m,cyclestreet_m,road_length_m,n_ubahn_stops,n_sbahn_stops,n_tram_stops,n_bus_stops,n_bike_shops,n_bike_repair,n_bike_parking,n_bike_rental,n_traffic_signals,n_restaurants,n_cafes,n_shops,n_supermarkets,n_offices,n_schools,n_universities,n_parks,dist_hauptbahnhof_m,dist_alexanderplatz_m,has_ubahn,has_sbahn,has_tram,has_bus
1216,262.33,0.0,59.56,4689.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,18520.450353602155,14773.298510866991,0,0,0,0
1217,0.0,0.0,137.72,5410.63,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18932.11374353049,15324.213873209654,0,0,0,1
1218,0.0,0.0,0.0,3043.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19373.765258609892,15903.229633397186,0,0,0,0
1219,0.0,0.0,0.0,1181.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19843.40267679621,16507.389094380753,0,0,0,0
1220,555.05,641.23,1277.54,3824.99,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22500.34393524877,18530.612764151312,0,1,0,0
1221,0.0,387.24,238.56,4740.28,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21952.97990483849,17894.546413799893,0,0,0,1
1222,0.0,12.62,0.0,2319.84,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21426.64640582019,17278.482957030403,0,0,0,0
1223,531.69,122.37,0.0,3588.2,0.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,4.0,2.0,3.0,20.0,0.0,2.0,1.0,0.0,0.0,20922.930619245642,16684.638301055995,0,0,1,1
1224,530.6,531.02,395.87,3689.99,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20443.504474417143,16115.468878619868,0,0,0,0
1225,0.0,0.0,1470.91,610.36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19990.115674836004,15573.680333130289,0,0,0,0
1226,810.04,17.88,315.5,4412.61,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19564.57446997265,15062.227626060447,0,0,1,0
1227,1133.53,76.2,181.87,4512.1,0.0,2.0,6.0,1.0,0.0,1.0,17.0,1.0,12.0,3.0,3.0,11.0,2.0,4.0,0.0,0.0,0.0,19168.73557877138,14584.30262302461,0,1,1,1
1228,60.28,133.91,60.28,4573.91,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,11.0,6.0,2.0,26.0,0.0,1.0,0.0,0.0,0.0,18804.47481815495,14143.304597606708,0,0,0,1
1229,0.0,72.36,0.0,4673.07,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,18473.6602405805,13742.788904782585,0,0,0,1
1230,864.04,299.79,545.24,5570.91,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18178.11794939623,13386.389685875936,0,0,1,1
1231,30.14,807.03,115.01,3668.41,2.0,0.0,3.0,4.0,0.0,0.0,13.0,2.0,0.0,2.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,17919.593234221287,13077.714278988653,1,0,1,1
1232,0.0,334.94,208.55,1746.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,17699.70822295385,12820.210322126995,0,0,0,0
1233,173.23,211.76,515.33,4652.25,0.0,0.0,0.0,2.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17519.9178273038,12617.01131981335,0,0,0,1
1234,0.0,239.81,127.86,4624.04,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,17381.466283753136,12470.772092577918,0,0,0,1
1235,168.3,0.0,0.0,5127.32,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17285.346964148826,12383.510751226286,0,0,0,1
1236,0.0,0.0,0.0,2812.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17232.268253737635,12356.47686302427,0,0,0,0
1237,83.81,837.62,0.0,6311.67,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,17222.628099873466,12390.064665173677,0,0,1,0
1238,0.0,0.0,0.0,4347.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17256.499302127362,12483.784856681395,0,0,0,0
1239,0.0,0.0,299.43,4573.8,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17333.626789050773,12636.2995488645,0,0,1,0
1240,0.0,0.0,0.0,3546.21,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17453.43711593405,12845.514712511527,0,0,0,1
1241,1795.79,0.0,0.0,5828.7,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17615.059371390926,13108.715809340913,0,0,0,1
1242,0.0,0.0,0.0,1569.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17817.355756548295,13422.727446789473,0,0,0,0
1243,196.16,0.0,0.0,3432.55,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,18058.959428859005,13784.077555336045,0,1,0,1
1244,547.71,0.0,0.0,2578.39,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18338.316857086946,14189.149939028002,0,0,0,1
1245,0.0,0.0,0.0,4661.11,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,18653.731922827064,14634.314399142415,0,0,0,1
1246,450.11,51.51,775.21,4621.6,0.0,0.0,4.0,7.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19003.409276929924,15116.029236334143,0,0,1,1
1247,0.0,0.0,0.0,786.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19385.49492905065,15630.915578250891,0,0,0,0
1248,0.0,0.0,405.47,951.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19798.112615651055,16175.806123810493,0,0,0,0
1249,0.0,0.0,0.0,1946.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20239.395066053137,16747.772559234196,0,0,0,0
1250,502.28,478.82,919.08,3880.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,23353.542773008623,19355.299026298886,0,0,0,0
1251,0.0,0.0,0.0,3757.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22810.21283435416,18727.22035802937,0,0,0,0
1252,0.0,445.32,0.0,3503.95,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22287.298154919074,18118.773807265945,0,0,0,1
1253,229.29,0.0,0.0,5801.74,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,7.0,0.0,3.0,0.0,0.0,0.0,21786.26880730303,17532.00348561523,0,0,1,1
1254,530.58,530.44,216.65,3113.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21308.66861260431,16969.158145302987,0,0,0,0
1255,0.0,0.0,522.88,2405.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20856.10720004155,16432.69637342229,0,0,0,0
1256,0.0,0.0,0.0,3179.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20430.24857992143,15925.284676946834,0,0,0,0
1257,0.0,0.0,0.0,4128.15,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20032.79577430837,15449.785564289097,0,0,0,0
1258,0.0,0.0,0.0,4805.5,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,19665.471162240894,15009.232356228218,0,0,0,1
1259,0.0,0.0,0.0,4135.79,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19329.992383099598,14606.787390249772,0,0,1,0
1260,599.82,344.67,58.76,3902.9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,19028.043909673008,14245.680742058943,0,0,0,1
1261,0.0,0.0,533.03,3795.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18761.24474884902,13929.127817110213,0,0,0,0
1262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18531.113135048934,13660.22634095476,0,0,0,0
1263,0.0,0.0,0.0,672.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18339.02951417437,13441.83639339659,0,0,0,0
1264,763.67,0.0,848.09,7583.88,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18186.199521052393,13276.45086487956,0,0,0,1
1265,0.0,0.0,0.0,2967.88,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18073.61896569955,13166.067351653715,0,0,0,1
1266,0.0,0.0,0.0,4628.83,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18002.042995589836,13112.075024533828,0,0,0,1
1267,159.44,349.99,242.55,7404.09,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,17971.961537707357,13115.170353057709,0,0,1,1
1268,0.0,0.0,0.0,6455.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17983.582819077048,13175.313101799497,0,0,0,0
1269,0.0,0.0,0.0,2770.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18036.82623158443,13291.728904516887,0,0,0,0
1270,0.0,0.0,0.0,4094.96,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18131.32510342635,13462.958040931688,0,0,1,0
1271,0.0,0.0,0.0,891.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18266.439157753437,13686.943455447215,0,0,0,0
1272,0.0,0.0,0.0,1120.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,18441.2756880235,13961.146195543479,0,0,0,0
1273,0.0,0.0,0.0,1874.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18654.717861695648,14282.674295595763,0,0,0,0
